"","urther, the NRA identified the ML risk of the financial and designated non-financial"
"businesses and professions sectors as follows;",""
"Sector","ML Risk"
"Informal Money Remitters (Hawala/Hundi)","High"
"Real Estate Agents","Medium High"
"Banking Sector","Medium High"
"Finance Companies","Medium High"
"Money Value Transfer Services Providers","Medium"
"Stockbrokers","Medium"
"Primary Dealers","Medium"
"Casinos","Medium"
"Dealers in Precious Metals and Stones","Medium"
"Notaries","Medium"
"Lawyers","Medium"
"Accountants","Medium Low"
