"Rs 4 to Rs 103/liter","","",""
"Accordingly, the new prices, which come in to effect from midnight Monday the 11/12 February,","","",""
"are as follows.","","",""
"Type of Fuel","Present Price/Liter","Revised Price/Liter","Revised By (Rs)"
"","(Rs)","(Rs)",""
"Octane 92 Petrol","123","129","6/"
"Octane 95 Petrol","147","152","5/"
"Auto Diesel","99","103","4/"
"Super Diesel","118","126","8/"
