"අංශයන් හි හඳුනාගත් මුදල් විශුද්ධිකරණ අවදානේ පහත පරිදි මේ:",""
"අංශය","මුදල් විශුද්ධිකරණ අවදානම"
"අවිිමත් මලස මුදල්  මේෂණ කරන්නන් (හවාලා/උන්ියල්)","ඉහළ"
"නි්චල මද්ධපළ නිමයෝජිතයන්","ඉහළ මධ්‍යම"
"බැංකු අංශය","ඉහළ මධ්‍යම"
"මූලය සමාගේ","ඉහළ මධ්‍යම"
"මුදල් මහෝ වටිනාකේ හුවමාරු මස්වා සපයන්නන්","මධ්‍යම"
"මකාටස් තැරැේකරුවන්","මධ්‍යම"
"ප්‍රාථමික අමලවිකරුවන්","මධ්‍යම"
"කැසිමනෝ","මධ්‍යම"
"මැණික්ෂ හා ස්වර්ණාභරණ ක්ෂමේත්‍රමේ නිරත වන්නන්","මධ්‍යම"
"මනාතාරිස්වරු","මධ්‍යම"
"නීතිඥවරු","මධ්‍යම"
"ගණකාිකාරීවරු","පහළ මධ්‍යම"
