"","Retail Price",""
"Date","",""
"","","Lanka Auto"
"","Petro 92",""
"","","Diesel"
"10/05/2018","137.00","109.00"
"10/07/2018","145.00","118.00"
"10/09/2018","149.00","123.00"
"10/10/2018","155.00","123.00"
"01/11/2018","145.00","116.00"
"15/11/2018","140.00","111.00"
"30/11/2018","135.00","106.00"
"21/12/2018","125.00","101.00"
"10/01/2019","123.00","99.00"
"11/02/2018","129.00","103.00"
